No.	Quantity	Comment	Designator	Footprint	Manufacturer Part	Manufacturer	Supplier	link
1	7	100n	C1,C2,C3,C5,C7,C9,C12	0603	CC0603KRX7R9BB104	YAGEO(国巨)	LCSC	
2	2	1u	C4,C6	0603	CL10B105KA8NNNC	SAMSUNG(三星)	LCSC	
3	1	10n	C8	0603	CC0603KRX7R9BB103	YAGEO(国巨)	LCSC	
4	1	220u	C10	CAP-D8.0×F3.5	01EC1230	KNSCHA(科尼盛)	LCSC	
5	1	100u	C11	CAP-D8.0×F3.5	ERS1HM101F12OT	AISHI(艾华集团)	LCSC	
6	1	SS54	D1	DIODE-SMA(DO-214AC)	SS54	MDD(辰达半导体)	LCSC	
7	1	47uH	L1	IND-SMD_L12.0-W12.0_CDRH127NP	PSPHAQ127-470M	PROD(谱罗德)	LCSC	
8	1	HEAT	LED1	1206	HEAT	TUOZHAN(拓展光电)	LCSC	
9	1	12V	LED2	LED_0603	12V	Guiguang light(桂光光电)	LCSC	
10	1	5V	LED3	LED_0603	5V	HONGLITRONIC(鸿利光电)	LCSC	
11	2	JST XH2.54	P4,P5	CONN-TH_XH-3A	XH-3A	BOOMELE(博穆精密)	LCSC	
12	1	50N06	Q1	TO-252-2	50N06	KUU	LCSC	
13	4	1k	R1,R7,R11,R12	0603	FRC0603J102 TS	FOJAN(富捷)	LCSC	
14	1	100k	R2	RM065	RM065-104(100K)	BOCHEN(博晨)	LCSC	
15	1	100k	R3	0603	FRC0603J104 TS	FOJAN(富捷)	LCSC	
16	1	47k	R4	0603	FRC0603J473 TS	FOJAN(富捷)	LCSC	
17	1	470	R5	0603	FRC0603J471 TS	FOJAN(富捷)	LCSC	
18	1	1k	R6	1206	FRC1206J102 TS	FOJAN(富捷)	LCSC	
19	1	20k	R8	RM065	RM065-203(20K)	BOCHEN(博晨)	LCSC	
20	3	10k	R9,R10,R15	0603	FRC0603J103 TS	FOJAN(富捷)	LCSC	
21	1	0	R13	1210				
22	1	560k	R14	0603	FRC0603J564 TS	FOJAN(富捷)	LCSC	
23	1	LM358	U1	SOP-8_150MIL	LM358	TI(德州仪器)	LCSC	
24	1	78L05	U2	SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR	78L05	OSEN(欧芯)	LCSC	
25	1	78L12	U3	SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR	78L12	GR(国睿)	LCSC	
26	1	LM2596S-ADJ	U4	TO-263-5_L10.2-W8.6-P1.70-LS14.4-BR	LM2596S-ADJ	GR(国睿)	LCSC	
